湖 南（955座）


序号 宫观名称 地址 派别
336 龙凤观 湖南省怀化市芷江侗族自治县公坪镇瓦溪铺村 正一

337 天后宫 湖南省怀化市芷江侗族自治县芷江镇河西江西 全真

338 青龙殿 湖南省怀化市中方县中方镇栗山村七组 正一

339 白云宫观 湖南省怀化市中方县新路河乡字溪村水口山 正一

340 南岳殿 湖南省怀化市中方县新路河乡合理村街上 正一

341 白洞道观 湖南省怀化市中方县铜湾镇大岩头村四组 正一

342 龙关坡宫观 湖南省怀化市中方县铜湾镇堆子村龙关坡 正一

343 节石岩神殿 湖南省怀化市中方县桐木镇桐木村向家湾组 正一

344 城皇庙 湖南省怀化市中方县石宝乡鱼垅桥村 正一

345 文峰宫观 湖南省怀化市中方县接龙乡总坡村高坡堂 正一

346 祖师殿 湖南省娄底市冷水江市三尖镇三尖居委会6组 正一

347 紫云观 湖南省娄底市冷水江市毛易林场三工区一组 正一

348 大义观 湖南省娄底市冷水江市同兴乡同心村5组 正一

349 悟妙宫 湖南省娄底市冷水江市冷水江办事处涟溪桥居 正一

350 观音药王殿 湖南省娄底市冷水江市铎山镇诚山村5组 正一

351  三清殿 湖南省娄底市冷水江市冷水江办事处冷园居委 正一

352 三合真武殿 湖南省娄底市涟源市桥头河镇株木管理区三合 正一

353 南嶽大行宫 湖南省娄底市涟源市桥头河镇龙湾村一组 正一

354 玉皇殿 湖南省娄底市涟源市古塘乡古塘村九组 正一

355 地母殿 湖南省娄底市涟源市桥头河镇龙建村大屋组 正一

356 玄真观 湖南省娄底市娄星区大科办事处东方红村三组 正一

357 石门圣殿 湖南省娄底市双峰县走马街镇石门村肖家组 正一

358 仙女殿 湖南省娄底市双峰县荷叶镇象形村仰天湖组 正一

359 梅龙庵 湖南省娄底市双峰县梓门桥镇梅龙村高峰组 正一

360 瞿真人殿 湖南省娄底市双峰县石牛乡湾州村朗山组 正一

361 仙女殿 湖南省娄底市双峰县石牛乡仙女村林场组 正一

362 老君观 湖南省娄底市双峰县井字镇井字村东风组 正一

363 长峰观 湖南省娄底市双峰县甘棠镇山洲村州华组 正一

364 荆峰观 湖南省娄底市双峰县杏子铺镇立爱村丰水组 正一

365 元妙观 湖南省娄底市双峰县永丰镇洪殿村杉山组 正一

366 玉虚宫 湖南省娄底市新化县上梅镇十字街社区156 正一

367 雷祖殿 湖南省娄底市新化县温塘镇兴隆村2组 正一

368 石岩观 湖南省邵阳市大祥区板桥乡 正一

369 三清殿 湖南省邵阳市洞口县山门镇水口村 正一

370 太蔚观 湖南省邵阳市洞口县山门镇双溪村祠堂组 正一

371 丹玄宫 湖南省邵阳市洞口县黄桥镇桥头村6组 正一

372 南岳殿 湖南省邵阳市洞口县黄桥镇农业村枫林山组 正一

373 雄威道观 湖南省邵阳市洞口县洞口镇八角田 正一

374 桐山武安宫 湖南省邵阳市洞口县桐山乡柿坪村 正一

375 乾隆殿 湖南省邵阳市洞口县黄桥镇排山村3组 正一

376 丹玄宫 湖南省邵阳市洞口县石江镇石塘村 正一

377 福寿观 湖南省邵阳市洞口县醪田镇新龙村二组 正一

378 荣禄殿 湖南省邵阳市洞口县石柱乡塘湾村沙罗田组 正一

379 太平观 湖南省邵阳市洞口县石柱乡黄桑村新建组 正一

