湖 北（642座）


序号 宫观名称 地址 派别
202 叠山寺 湖北省黄石市阳新县兴国镇宝塔湖路9号 全真

203 关帝庙（关圣庙） 湖北省黄石市阳新县兴国镇三眼井居委会老街 全真

204 元帝宫 湖北省黄石市阳新县韦源口镇东湖村 全真

205 武显庙 湖北省黄石市阳新县军垦农场率州街南侧 全真

206 玉皇庙（玉清宫） 湖北省黄石市阳新县黄颡口镇六房村 全真

207 真人殿 湖北省黄石市阳新县枫林镇五合村 全真

208 太仙观 湖北省黄石市阳新县龙港镇钟山村 全真

209 九龙宫 湖北省黄石市阳新县洋港镇湖桥村 全真

210 钟成观 湖北省黄石市阳新县兴国镇太垴村龟地处 全真

211 武当山下院荆门市白云观 湖北省荆门市东宝区白云大道4号 全真

212 圣境山真武观 湖北省荆门市东宝区子陵铺镇金泉村 全真

213 观音岩道教 湖北省荆门市京山县永兴镇观音村 全真

214 长庆观 湖北省荆门市京山县雁门口镇金龙村 全真

215 圣灵观 湖北省荆门市京山县永隆镇石安村 全真

216 惠亭观 湖北省荆门市京山县新市镇赵畈村 全真

217 东岳庙 湖北省荆门市沙洋县毛李镇蝴蝶村三组 正一

218 二神庙 湖北省荆门市沙洋县后港镇荷花村二组 正一

219 铁鞭庙 湖北省荆门市沙洋县后港镇铁鞭村七组 正一

220 三元观 湖北省荆门市沙洋县沙洋镇荷花大道96号 全真

221 荆门市掇刀三清观 湖北省荆门市漳河新区凤凰水库西岸 正一

222 东岳庙 湖北省荆门市钟祥市九里乡 正一

223 元佑宫 湖北省荆门市钟祥市元佑路1号 正一

224 大光庙 湖北省荆州市公安县夹竹园镇卫东村 全真

225 罗王庙 湖北省荆州市公安县闸口镇脉龙岗村 全真

226 黑神庙 湖北省荆州市公安县夹竹园镇陈榨村一组 全真

227 紫宵观 湖北省荆州市公安县夹竹园镇紫宵观村 全真

228 白仙堂 湖北省荆州市公安县杨家厂镇正南路33号 全真

229 金牛山 湖北省荆州市公安县黄山头镇北宫咀村 全真

230 灵官殿 湖北省荆州市公安县麻豪口镇周场村 全真

231 升福观 湖北省荆州市公安县毛家港镇农业队 全真

232 西岳观 湖北省荆州市公安县狮子口镇横堤村 全真

233 水仙宫 湖北省荆州市公安县麻豪口镇郑河村二组 全真

234 青龙观 湖北省荆州市公安县斗湖堤镇王岗村 全真

235 修真殿 湖北省荆州市公安县麻豪口镇友好村五组 全真

236 云麓宫 湖北省荆州市公安县黄山头林场二顶 全真

237 清洋观 湖北省荆州市公安县埠河镇跃丰村 全真

238 东岳观 湖北省荆州市公安县杨家厂镇砖瓦厂 全真

239 太清宫 湖北省荆州市公安县藕池镇街道 全真

240 城隍庙 湖北省荆州市公安县夹竹园街道 全真

241 长春观 湖北省荆州市公安县甘家厂乡大门村 全真

242 关帝宫 湖北省荆州市公安县毛家港马蹄拐村 全真

243  白云观 湖北省荆州市公安县黄山头镇林场下 全真

244 三皇宫 湖北省荆州市公安县杨家厂镇涂郭巷 全真

245 玉皇阁 湖北省荆州市公安县埠河镇清华寺村 全真

246 普乐宫 湖北省荆州市洪湖市万全镇简市街道  全真

247 普乐宫 湖北省荆州市洪湖市万全镇简市街道 全真

248 香山宫 湖北省荆州市洪湖市乌林镇香山村 全真

249 楠拇宫 湖北省荆州市洪湖市瞿家湾镇月池村 全真

250 忠义观 湖北省荆州市洪湖市曹市镇蔬菜村 全真

251 镇方山北殿 湖北省荆州市洪湖市沙口镇庙湾村 全真

252 顺天寺 湖北省荆州市洪湖市沙口镇街道 全真

253 诚心观 湖北省荆州市洪湖市新滩镇刘家墩村 全真

254 中原庵 湖北省荆州市洪湖市螺山镇中原村 全真

255 普庆宫 湖北省荆州市洪湖市乌林镇小沙角村 全真

256 万宏道观 湖北省荆州市洪湖市万全镇街道 全真

257 五龙观 湖北省荆州市洪湖市曹市镇穴堤村 全真

258 龙驹观 湖北省荆州市洪湖市府场镇李家口村 全真

259 三清观 湖北省荆州市洪湖市曹市镇马口村 全真

260 辖神庙 湖北省荆州市洪湖市螺山镇螺山村 全真

261 城隍庙 湖北省荆州市洪湖市螺山镇沿江二村 全真

262 玉皇阁 湖北省荆州市洪湖市峰口镇土港村二组 全真

263 武圣庙 湖北省荆州市洪湖市峰口镇白庙朱市街道 全真

264 天元宫 湖北省荆州市洪湖市沙口镇沙口村 全真

265 白云寺 湖北省荆州市洪湖市汊河镇白云村 全真

266 祖师殿 湖北省荆州市洪湖市沙口镇蒋岭村 正一

267 迎龙寺 湖北省荆州市洪湖市府场镇中华路 全真

268 镇方山南店 湖北省荆州市洪湖市沙口镇庙湾村 正一

269 王爷庙 湖北省荆州市洪湖市汊河镇洪城渔场 全真

270 白衣庵 湖北省荆州市洪湖市滨湖办事处洪狮渔场 全真

271 中山道观 湖北省荆州市洪湖市曹市镇向阳村 全真

272 陆莲道观 湖北省荆州市洪湖市茅江街道陆莲寺一巷10 全真

273 永镇庙 湖北省荆州市监利县棋盘乡 全真

274 太平仙山 湖北省荆州市监利县棋盘乡桐梓湖村 全真

