福 建（918座）



序号    宫观名称                                地址                              派别
208 建瓯莲花宫 福建省南平市建瓯市瓯宁街道水西村鹧鸪岭 正一

209 建瓯瑶池仙宫 福建省南平市建瓯市徐墩镇北郊瑶坪村 正一

210 建瓯龙津道院 福建省南平市建瓯市龙村乡龙溪村 正一

211 建瓯南雅妈祖庙 福建省南平市建瓯市南雅镇鲁口村 正一

212 建瓯玉山妈祖庙 福建省南平市建瓯市玉山镇筹岭村 正一

213 建瓯三清宫 福建省南平市建瓯市通济街道南门村云际山 正一

214 建瓯龙头大王庙 福建省南平市建瓯市通济街道东溪村 正一

215 建瓯忠平王殿 福建省南平市建瓯市水源乡钱团村 正一

216 建瓯地母庙 福建省南平市建瓯市瓯宁街道豪栋村橄榄坑 正一

217 建瓯东峰大庙 福建省南平市建瓯市东峰镇东峰村 正一

218 建阳白塔山龙济道院 福建省南平市建阳市麻沙镇溪头村 全真

219 浦城万安东皇庙 福建省南平市浦城县万安乡万安村 正一

220 浦城仙阳唐隍庙 福建省南平市浦城县仙阳镇仙阳村 正一

221  浦城仙阳钟兴庙 福建省南平市浦城县仙阳镇殿基村 正一

222 浦城临江玉皇庙 福建省南平市浦城县临江镇水东村 正一

223 浦城莲塘三仁庙 福建省南平市浦城县莲塘镇下沙村 正一

224 浦城富岭天后宫 福建省南平市浦城县富岭镇前洋村 正一

225 浦城忠信黄龙庙 福建省南平市浦城县忠信镇雁塘村 正一

226 浦城忠信青龙庙 福建省南平市浦城县忠信镇排栅村 正一

227 浦城仙阳骑龙观 福建省南平市浦城县仙阳镇樟溪村 正一

228 浦城仙阳赵老真君庙 福建省南平市浦城县仙阳镇管九村 正一

229 浦城盘亭华藏庙 福建省南平市浦城县盘亭乡棠岭村 正一

230 浦城官路新兴宫 福建省南平市浦城县官路乡王村村 正一

231 浦城濠村仙山岗庙 福建省南平市浦城县濠村乡北坑村 正一

232 浦城管厝甪峰寺 福建省南平市浦城县管厝乡管厝村 正一

233 浦城管厝廻龙观 福建省南平市浦城县管厝乡党溪村 正一

234 浦城富岭双同匡山天师庙 福建省南平市浦城县富岭镇双同村 正一

235 浦城富岭三清观 福建省南平市浦城浦城富岭镇园盘村 正一

236 浦城九牧妈祖庙 福建省南平市浦城县九牧镇吴墩村 正一

237 浦城河滨真武殿 福建省南平市浦城县河滨街道水南农场上水南 正一

238 浦城河滨护国庙 福建省南平市浦城县河滨街道水南农场大路沿 正一

239 浦城河滨城隍庙 福建省南平市浦城县河滨街道解放村 正一

240 邵武大埠岗松树坪古天堂 福建省南平市邵武市大埠岗镇松树坪 正一

241 邵武和平灵仙宫 福建省南平市邵武市和平镇和平村南门 正一

