江 西 省 道 观 大 全
序号   宫派名称             地址                       派别
318 湘东区赣西景秀庙 江西省萍乡市湘东区湘东镇河洲村 正一

319 湘东区西河社二王庙 江西省萍乡市湘东区湘东镇五四村 正一

320 湘东区小桥龙王庙 江西省萍乡市湘东区麻山镇小桥村 正一

321 湘东区乌岗二王庙 江西省萍乡市湘东区腊市镇乌岗村 正一

322 湘东区杞木灵官庙 江西省萍乡市湘东区下埠镇杞木村 正一

323 湘东区庙岭关帝庙 江西省萍乡市湘东区腊市镇庙岭村 正一

324 湘东区钟鼓山包公庙 江西省萍乡市湘东区东桥镇草市村 正一

325 湘东区飞天傩神庙 江西省萍乡市湘东区腊市镇腊市村 正一

326 湘东区浏公庙 江西省萍乡市湘东区湘东镇浏市居委会 正一

327 湘东区石井龙王庙 江西省萍乡市湘东区老关镇新华村 正一

328 湘东区福溪傩神庙 江西省萍乡市湘东区荷尧镇福溪村 正一

329 湘东区潘塘圣仙庵 江西省萍乡市湘东区下埠镇潘塘村 正一

330 湘东区黄花桥龙王庙 江西省萍乡市湘东区湘东镇道田村 正一

331 湘东区长春龙王庙 江西省萍乡市湘东区下埠镇长春村 正一

332 湘东区下横傩神庙 江西省萍乡市湘东区麻山镇下横村 正一

333 湘东区景星钟馗庙 江西省萍乡市湘东区麻山镇景星村 正一

334 湘东区荷尧玄阳观 江西省萍乡市湘东区荷尧镇萍洲村 全真

335 湘东区庙岭康公庙 江西省萍乡市湘东区腊市镇庙岭村 正一

336 湘东区老关包傩庙 江西省萍乡市湘东区老关镇渡口村 正一

337 湘东区阳干仙人庙 江西省萍乡市湘东区湘东镇阳干村 正一

338 湘东区老关真人庙 江西省萍乡市湘东区老关镇前进村 正一

339 湘东区横岗包公庙 江西省萍乡市湘东区麻山镇横岗村 正一

340 湘东区青云法显庙 江西省萍乡市湘东区荷尧镇青云村 正一

341 湘东区大义傩神庙 江西省萍乡市湘东区荷尧镇大义村 正一

342 湘东区黄花傩神庙 江西省萍乡市湘东区湘东镇黄花村 正一

343 湘东区大路里万寿宫 江西省萍乡市湘东区排上镇大路里村 正一

344 芦溪县玉皇古宫 江西省萍乡市芦溪县张佳坊乡杂溪村上垅组 全真

345 芦溪县杨泗庙 江西省萍乡市芦溪县宣风镇珠亭村1组 正一

346 芦溪县古城紫极宫 江西省萍乡市芦溪县芦溪镇古城村6组 正一

347 芦溪县登冈仙山 江西省萍乡市芦溪县上埠镇焕山村登冈山 全真

348 芦溪县莲池仙庵 江西省萍乡市芦溪县南坑镇妙泉村1组 正一

349 芦溪县冲仙观 江西省萍乡市芦溪县宣风镇桥头村 正一

350 芦溪县护法宫 江西省萍乡市芦溪县南坑镇双丰村 正一

